Location;Operator
Near Ibague, Colombia;Helicopteros Nacionales de Colombia
Pasco, Washington;United Express
Near Visina, Romania;Tarom
Milford Sound;Air Fiordland
Java Sea, Indonesia;Pelita Air Service
Near Pervouralsk, Russia;Aeroflot
Pico Blanco, Costa Rica;SANSA
Near Leadville, Colorado;Federal Express
Ansonia, Ohio;Aeroflite Services
Near Caracas, Venezuela;Military - Venezuelan Navy
Cove Neck, New York;AVIANCA
Mt Rijani, Lombok Island, Indonesia;Airfast Services
Near Kinkala, Congo;Military - Congolese Air Force
Burlington, Vermont;Airborne Express
Plattsburg, New York;Wiggins Airways
Bauru, Brazil;TAM (Brazil)
Near Bangalore, India;Indian Airlines
Near Ngwerere, Zambia;Military - Zambian Air Force
Denver, Colorado;Federal Express
Near Meerut, India;Military - Indian Air Force
Sukhbaata, Mongolia;MIAT - Mongolian Airlines
Off Miami, Florida;Sinquanon Management - Air Taxi
Off Freetown, Sierre Leone;Helicsa
Las Mesitas, Honduras;TAN Honduras
Santiago de Cuba;Cubana de Aviacion
Kabul, Afghanistan;Aeroflot
Near Kuito, Angola;Military - Angolan Air Force
Juiz De Fora, Brazil;Air Taxi - Transamerica
Off Vaeroy, Norway;Wideroe's Flyveselksap
Off Contadora, Panama;Aeroperlas
Near Kinshasa, Zaire;Military - Zairean Air Force
Near Manila, Philippines;MATS - Manila Aero Transport System
Ship Sands Island, ON, Canada;Frontier Air
Tarbert, England;Military - Royal Air Force
Guatamala City , Guatemala;Aerial Transit Company
Tuxtla-Gutierrez, Mexico;Avicsa
Manila, Philippines;Philippine Air Lines
Near Mt. Emerald, Qld, Australia;Air North Queensland
Near Wurzburg , Germany;Military - Luftwaffe
Manila, Philippines;Aerolift Philippines
Thistle Lake, Northwest Territory, Canada;Ptarmigan Airways
Near Altamira, Brazil;TABA
Oxfordshire, England;British Airways
Aialak Bay, Alaska;Air Taxi - Trail Lake Flying Service Inc.
Ashford, Washington;Air Taxi - Aero West Aviation Inc.
Near Port Morseby, New Guinea;Douglas Airways
Off Union Island, Grenadines Islands;Eagle Air
Near Maymaneh, Afghanistan;Military - Afghan Republican Air Force
Near Huanuco, Peru;Servicio Expresso Nacional
Stepanakert, Azerbaijan, USSR;Aeroflot
Near Shindand, Afghanistan;Military - Afghan Republican Air Force
Yunlin, Taiwan;Military - Republiof China Air Force
Elkhorn, Wisconsin;Private - Omniflight Helicopters
Lata, Georgia;Military - Russian Air Force
Near Kaiserslautern, Germany;Military - U.S. Air Force
Kaltag, Alaska;Frontier Flying Service
Off Newfoundland, Canada;Faucett
Off Sondre Stromfjord, Greenland;Nuna Air
Koltsovo, Russia;Aeroflot
Off Fernando de Noronha, Brazil;SUDENE
San Luis Obispo, California;HiTech Helicopters
Near Kuwait City, Kuwait;Iraqi Airways
Guangzhou, China;China Southwest Airlines / Xiamen Airlines
Cape Canaveral, Florida;Eastern Air Lines
Near Bella Vista, Bolivia;BAFIN
Santiago de Cuba, Cuba;Cubana de Aviacion
Novossibirsk, Russia;MAP - Ministerstvo Aviatsionnoi Promyshlennosti
Stadelberg, Switzerland;Alitalia
Near Medellin, Colombia;SATENA
Near Ashkhabad, Turkmenistan, USSR;Aeroflot
Cleveland, Ohio;Ryan International Airlines
Koh Samui, Thailand;Bangkok Airways
Off Ravenna, Italy;Eitos
Romulus, Michigan;Northwest Airlines/ Northwest Airlines
Nairobi, Kenya;Sudania Air Cargo
Near Matak, Indonesia;Pelita Air Service
Near False Pass, Alaska;MarkAir Commuter
Near Paramo Mucuti, Venezuela;Military - Venezuelan Navy
Near Belo Horizonte, Brazil;Belair - Air Taxi
Jalaludin, Indonesia;Merpati Nusantara Airlines
Near Ras Al Khafji, Saudi Arabia;Lockheed AC-130H Hercules
LAX, Los Angeles, California;USAir / Skywest Airlilnes
Near Nea Ankhialos, Greece;Military - HelleniAir Force
Munford, Alabama;Macon Horizons - Air Taxi
Aspen, Colorado;Air Taxi - Richmor Aviation
Near Taisha, Ecuador;Military - Ecuadorean Air Force
Puerto Williams, Chile;LAN
Near Colorado Springs, Colorado;United Air Lines
La Puerta, Venezuela;Linea Aeropostal Venezolana
Hassfurt, Germany;Luft-Taxi Emsland
San Diego, CA;Duncan Aircraft Sales
Malanje, Angola;Transafrik
Brasillia, Brazil;Conesul Taxi Aéreo
Treasure Cay, Bahamas;Broward Aviation Services - Air Taxi
Ras-al-Mishab, Saudi Arabia;Military - Royal Saudi Air Force
Off San Diego, California;Military - U.S. Navy / Military -  U.S. Navy
Navoi,  Uzbekistan;Uzbek Civil Aviation Administration
Near Bangalore, India;Military - Indian Air Force
Off San Pedro, Belize;TropiAir - Air Taxi
Lake Thutade, Canada;Central Mountain Air Services
Marion, Pennsylvania;Private
Brunswick, Georgia;AtlantiSoutheast Airlines
Off Nuka Hiva, French Polynesia;Air Tahiti
Near Awell, Sudan;Nile Safaris Aviation
Sulawesi, Indonesia;Merpati Nusantara Airlines
Grand Canyon, Airzona;Air Taxi - Air Grand Canyon Inc.
La Poyatta, Colombia;ADES Colombia
Leningrad, USSR;Aeroflot
Bakhtaran, Iran;Metro Cargo
Near Ban Nong Rong, Thailand;Lauda Air
Off Matthewtown, Great Inagua;Agape Flight Inc.
Luanda, Angola;Carib Air Transport
Near Malambo, Colombia;Aerosucre Colombia
Gulf of Finland, Russia;Aeroflot
Near Sokotu, Nigeria;Okada Air
El Yopal, Colombia;Helicol Colombia
Bellavista Airport, Peru;Aerochasqui
Birmingham, Alabama;L'Express Airlines
Jeddah, Saudi Arabia;Nationair (chartered by Nigeria Airways)
Guadalcanal Island, Solomon Islands;Solomon Islands Airlines
Detroit, Michigan;Jetstream Inc.
Salmon, Idaho;Air Taxi -Wilderness Aviation Inc.
Espiritu Santos, Vanuatu;Vanair
Rarotonga, Cook Islands;Avalki Air
Near Uricani, Romania;Tarom
Gustavus, Alaska;Air Taxi - Haines Airways Inc.
;Transports Aériens de la Guinee-Bissau
Imphal, India;Indian Airlines
Ketchikan, Alaska;Temsco Airlines
Walton, Oregon;Air Taxi - Bohemia Inc.
Long Seridan, Malaysia;Airtech Rajawaldi Udara
Sampit, Indonesia;Dirgantara Air Services
Near Eagle Lake, Texas;Continental Express
Petropavlosk, USSR;Aeroflot
Baranquilla, Colombia;Lineas Aéreas Colombianas
;Ethiopian Airlines
Belvedere Center, Vermont;Canair Cargo
Khatanga, Russia;Aeroflot
Off St. Petersburg, USSR;Aeroflot
Near Villavicencio,  Colombia;CORAL Colombia
Condet, Indonesia;Military - Indonesian Air Force
Katapang, Indonesia;Deraya Air Taxi
Aponguao Falls, Venezuela;EDELCA
Tumbang Miri, Indonesia;Bali International Air Service
Vallejo, California;Corporate Mobility Inc. - Private
Near Point Alert, Ellesmere Island, NWT,Canada;Military - Royal Canadian Air Force
Near Karakent, USSR;Military - Azerbaijan Air Force
Makhackala, Russia;Aeroflot
Recife, Brazil;Nordeste Linhas Aereas
Off Destin, Florida;Baron Aviation
Anderma, Russia;Aeroflot
Nagoro-Karabak, USSR;Military - Soviet Air Force
Davis, California;Air Taxi - Airis Helicopters Inc.
Khodzhavend, Russia;Azerbaijani Airlines
Sena, Mozambique;STASA
Near Bugulma, Russia;Tartarstan Airlines
Guaratingueta AB, Brazil;Military - Força Aérea Brasileira
Near  Las Vegas, Nevada;Las Vegas Airlines
Rome, Georgia;Bruno Air
Heidelberg, Germany;ClassiWings
Stockholm, Sweden;Scandinavian Airlines (SAS)
Massai Marra, Kenya;Eagle Aviation
Wanli, Taiwan;China Airlines (Taiwan)
Gabriels, New York;Commutair
Temple Bar, Arizona;Air Taxi - Air Vegas Inc.
Mt. Saint-Odile, near Strasbourg, France;Air Inter
Nanaimo, British Columbia, Canada;Air Rainbow
Near Stepanakert, Azerbaijan;Military - Azerbaijan Air Force
Caetite, Brazil;Nordeste Linhas Aéreas
Evansville, Indiana;Military - U.S. Air Force
Near Kafountine, Senegal;Gambcrest
Toledo, Ohio;ATI
En route from Argentina  to  California;Aerolineas Argentinas
Beni, Bolivia;Frigorifico Santa Rita
Etsouali, Congo;Lina Congo
Knotsville, Tennessee;CC Air
La Guardia Airport, New York, New York;USAir
Near Yakutia, Russia;Aeroflot
Athens, Greece;Golden Star Air Cargo
Near Baykovo, Russia;Kamchatavia
Near Sarra, Libya;Air Bissau
Off Orchid Island, Taiwan;Taiwan Airlines
Near Goroka, Papua New Guinea;Talair
Nairobi, Kenya;Military - Kenyan Air Force
Hamburg, Pennsylvania;Air Taxi - Basco Flying Service Inc.
Perris Valley, California;Perris Valley Aviation
Mt. Haleakala, Hawaii;SceniAir Tours
Saveh, Iran;Saha Airline Services
Blewett Falls Lake, North Carolina;Military - U.S. Air Force
Tucuti, Panama;COPA (Panama)
Mayaguez, Puerto Rico;American Eagle
Anniston, Alabama;GP Express Airlines
Sheboygan Falls, Wisconson;Jet Charter Group
Canbera, ACT, Australia;Air taxi
Meadview, Arizona;Adventure Airlines
Cruzeiro do Sul, Brazil;VASP
Norlisk, Russia;Krasnoyarskavia
St. Thomas, Virgin Islands;Caribbean Air Carrier - Air Taxi
Near Iyakochchi, Sri Lanka;Military - Sri Lanka Air Force
Bethel, Alaska;ArctiCircle Air Service
Near Nakhichevan, Azerbaijan;Military - Russian Air Force
Near Bir Fadl, Yemen;Military - Unified Yemen Air Force
Tbilisi, Georgia;Georgian Air
Mt. Lalaboy,  Indonesia;Mandala Airlines
Near Skopje, Macedonia;Volga-Dnepr Airlines
Near Mexico City, Mexico;Aero Eslava
Iguape, Brazil;Crasa - Air Taxi
Adjuntas, Puerto Rico;Air Taxi - Western Helicopter Inc.
Near  Kathmandu, Nepal;Pakistan International Airlines
JFK Airport, New York, New York;Trans World Airlines
Near Kathmandu, Nepal;Thai Airways
Nanjing, Jiangsu, China;China General Aviation Corporation
Colorado, Bolivia;Servicios Aereos Santa Ana
Hot Springs, Arizona;Lone Star Airlines
Near Ivanovo, Russia;Aeroflot
Gimli, Manitoba, Canada;NewCal Aviation
El Salvador;Military - Salvadorian Air Force
Near Iquitos, Peru;Military - Peruvian Air Force - TANS
Jamba, Angola;Professional Aviation Services
Hinckley, Illinois;EXA Inc.
Bellavista, Peru;Expresso Aéreo
Kozyrevsk, Russia;Kamchatavia
Hana, Hawaii;Air Taxi - Hawaii Helicopters Inc.
Off Curacao, Netherlands Antilles;Aero Ejecutivos
Bogota, Colombia;Avesca Colombia
Near Kular, Russia;Yakutavia
Near Lagos, Nigeria;Military - Federal Nigerian Air Force
Amsterdam, Netherlands;El Al
Berkeley Springs, West Virginia;Miltiary - U.S. Airforce
Near Dingxi, China;Wuhan Airlines
Mogadiscio, Somalia;Kiev Production Association
Near Garut, Jawa, Indonesia;Merpati Nusantara Airlines
Near Usti Nem, Russia;Syktyvkar Avia
Near Lake Caballochoa, Peru;Military - Peruvian Air Force
Chita, Russia;Aeroflot
Grand Junction, Colorado;Air Taxi - Alpine Aviation
Kiana, Alaska;Air Taxi - Baker Aviation Inc.
Near Tver, Russia;Military - Russian Air Force
Off Bombay, India;Military - Indian Air Force
Near Nha Trang, Vietnam;Vietnam Airlines
Near Porto Plata, Dominican Republic;Aerocaribbean - Charter
Elk City, Idaho;Air Taxi - Wilderness Aviation Inc.
Near Liutang, Guangxi, China;China Southern Airlines
Near Harlem, Montana;Military - U.S. Air Force / Military - U.S. Air Force
Uruapan, Mexico;Aero Sudpacifico
Goma, Congo;Scibe Airlift Cargo Zaire
Faro, Algarve, Portugal;Martinair Holland NV
Tripoli, Libya;Libya Arab Airlines / Military -  Libya Air Force
Ofden, Utah;Air Taxi - South Coast Helicopters Inc.
Paris, France;Lufthansa Cityline
Surabaya, Indonesia;Bouraq Indonesia Airlines
Sellafield, England;Titan Airways
Near Bronson Creek, British Colombia, Canada;Central Mountain Air Services
Kinshasa, DemocratiRepubliCongo;Trans Service Airlift
Sumatra, Indonesia;Pan Malaysian Air Transport
Near Tehran, Iran;Iran Air Tours  /  Military - Iranian Air Force
Near Daraim, Afghanistan;Military - Afghan Republican Air Force
Bogota, Colombia;Cargo Three Panama
Off Green Island, Taiwan;Formosa Airlines
Skopje, Macedonia;Palair Macedonian
Grants, New Mexico;Air Taxi - Guinn Flying Service
Dagali, Norway;West Aviation
Near Tangara de Serra, Brazil;Oeste Linhas Aereas
Anchorage, Alaska;Japan Air Lines
Blountville, Tennesee;Private
Aspen, Colorado;Air Taxi - Sea PacifiInc.
Off Margarita Island, Venezuela;Linea Aeropostal Venezolana
950 nm S of  Shemya, Alaska;China Eastern Airlines
Zwingle, Iowa;Private
Zavnah, Mongolia;MIAT - Mongolian Airlines
Aurangabad, India;Indian Airlines
Near Kholm, Afghanistan;Military - Afghan Republican Air Force
Off  Libreville, Gambia;Military - Zambian Air Force
Shelton, Nebraska;GP Express Airlines
Suva, Fiji;Fiji Air
Near Cancun, Mexico;Carga del Caribe
Near Medellin, Colombia;SAM Colombia
El Yopal, Colombia;Aerotaca
Near Ariab, Sudan;Sasco Air Lines
Gulgubip, Papua New Guinea;Southwest Air
Nabire, Indonesia;Merpati Nasantara Airlines
Near Tbilisi, Georgia;Tajikistan Airlines
Sorong, Irian Jaya, Indonesia;Merpati Nusantara Airlines
Near Ochamchire, Georgia;Military - Georgian Air Force
Las Vegas, Nevada;Hyannis Air Service - Air Taxi
Talladega, Alabama;Private
Yinchuan, China;China Northwest Airlines
Haenam, South Korea;Asiana Airlines
Serawak, Malaysia;Hornbill Airways
Devghat, Nepal;Everest Air
Augusta, Georgia;Air Taxi - Air Medical Leasing
Leeward Point Airfield, Guantanamo Bay, Cuba;American International Airways
Near Aldan, Russia;Sakha Airlines
Khorag, Tajikistan;Tajikistan Airlines
Warsaw, Poland;Lufthansa
Sukhumi, Georgia;Transair Georgia Airlines
Sukhumi, Georgia;Transair Georgia Airlines
Sukhumi,  Georgia;Transair Georgia Airlines
Near Svanetia, Georgia;Military - Georgian Air Force
Franz Josef Glacier, New Zealand;Hibiscus Air
Fuzhou, China;China Eastern Airlines
Near Namsos, Norway;Wideroe's Flyveselksap
Greensburg, Indiana;Roadrunner Airlines
Sandy Lake, Canada;Air Manitoba
Urumqi, China;China Northern Airlines
Near Kerman, Iran;Magistralnye Avialinii
Near Ohrid, Macedonia;Aviaimpex (Macedonia)
Near Palencia, Guatemala;Aerovias de Guatemala SA
Hibbing, Minnesota;Express Airlines - Northwest Airlink
Tuktoyaktuk, NWT, Canada;ArctiWings & Rotors
Off Dakar, Senegal;Air Senegal / Gambia Airways
Phonesavanh, Laos;Lao Aviation
Near Naga, Philippines;Military - Philippine Air Force
Santa Ana, California;Air Taxi - Martin Aviation LP
Gyumri, Armenia;Kuban Airlines
Near Irrupts, Siberia, Russia;Baikal Air
Off Lord Howe Island, NWSW, Australia;Seaview Aviation
Okeechobee, Florida;Kimura International
Columbus, Ohio;AtlantiCoast Airlines (United Express)
Kinshasa, DemocratiRepubliCongo;Scibe Airlift Cargo Zaire
Nalchik, Russia;North Western Air Transport
Near Carpish, Peru;Expresso Aéreo
East Midlands, England;British World Airways
New York, New York;Continental Airlines
New Delhi, India;Sahara
Near Tamworth,  Australia;Jetcraft
Off Malindi, Kenya;Military - U.S. Air Force
Near Nag;Military - Iranian Air Force
Spokane, Washington;Salair
Key West, Florida;Chalk's International Airlines
Weipa, Australia;Aurukun Air Services
Near Bogota, Colombia;Orion - Air Taxi
Near Campbeltown, Scotland;Military - Royal Air Force
Near Mezhdurechensk, Russia;Aeroflot Russian International Airways
Near Fayetteville, North Carolina;Military - U.S. Air Force / Military U.S. Air Force
Lamoille, Nevada;Air Taxi - El Aero Services Inc.
Amsterdam, Netherlands;KLM Cityhopper
Ambato, Ecuador;TAME
Kigali, Rwanda;Rwanda Government
Northern Iraq;Military - U.S. Army / Military U.S. Army
Nanga Pinoh, Indonesia;Dirgantara Air Services
Near Komaki, Aichi, Japan;China Airlines (Taiwan)
Stratford, Connecticut;Action Airlines
Near El Rosa, Colombia;Lineas Aereas de los Libertadores
Sao Gabriel, Brazil;Rico Taxi Aero
Loma Linda, Colombia;Arall
Near Villavicencio, Colombia;Transoriente Colombia
Kodiak, Alaska;Air Taxi - Uyak Air Services Inc.
Near Xi'an, China;China Northwest Airlines
Near Uruapan, Mexico;Aerolineas Cuahonte
Chantilly, Virginia;TAESA
Mt.  Kalora, Indonesia;Merpati Nusantara Airlines
Jeneau, Alaska;Air Taxi - Sun Western Flyers Inc.
Abidjan, Ivory Coast;Air Ivorie
Near Logar, Afghanistan;Military - Dostum-Galboddin Militia
Toulouse-Blagnac, France;Airbus Industrie
Near Tidjika, Mauritania;Air Mauritanie
Charlotte, North Carolina;USAir
Portage Creek, Alaska;Air Taxi - Peninsula Airways
Hanalei, Hawaii;Air Taxi - Papillion Helicopters Ltd.
Near Fort de France, Martinique;Air Martinique
Boma, DemocratiRepubliCongo;Sankuru Air Service
Colon, Panama;Alas Chiricanas
East Kalimantan, Indonesia;Airfast Services
Near Boda, Russia;Military - Russian Air Force
Cheju, South Korea;Korean Airlines
Alsworth, Alaska;Air Taxi - Talon Air Services Inc.
Whiting, New Jersey;Air Taxi - National Helicopters
Kenai, Alaska;Air Taxi - Lake Clark Air Inc.
Near Agadir, Morocco;Royal Air Maroc
Near Aliquippa, Pennsylvania;USAir
Near Abuja, Nigeria;Aerocontroctors - Charter
Fish Egg Inlet, Canada;PacifiCoastal Airlines
Tamanrasset, Algeria;Oriental Airlines
Kowloon Bay, Hong Kong;Heavylift Cargo Airlines
Near Vanavera, Russia;Cheremshanka Airlines
Bahia Negra, Paraguay;TAM Paraguay
Buenos Aires, Brazil;Radeair
Chaibukha, Russia;Arsenyev Aviation Production Association
Lobito, Angola;SL Aviation Services
Mitu, Colombia;SELVA
Krakas Mountains, near Natanz , Iran;Iran Asseman Airlines
Near Formoso do Aragala, Brazil;Military - Brazilian Air Force
Near Cuito, Angola;Military - Angolan Air Force
Batagaj, Russia;Yakutavia
Near Ust'-Ilimsk, Russia;Aeronica
Roselawn, Indiana;American Eagle
Off Cozumel, Mexico;Transportes Aereos Pegaso
Near Nabire, Indonesia;Trigana Air Service
Saposa, Peru;SA Amazonica
Avenal, California;Ameriflight
Papua New Guinea;Southwest Air
Bridgeton, Missouri;Trans World Airlines / Private
Near Cuito, Angola;Military - Angolan Air Force
PacifiOcean;Philippine Air Lines
Elim, Alaksa;Air Taxi - Ryan Air Service
Morrisville, North Carolina;American Eagle
Cerro Aicha, Venezuela;Servivensa
Papua, New Guinea;Missionary Aviation Fellowship
Coventry, England;Phoenix Aviation
Algiers Airport, Algeria;Air France
Near Van, Turkey;Turkish Airlines (THY)
Isfahan, Iran;Military - Iranian Air Force
Off Flores Island, Inodnesia;Merpati Nusantara Airlines
Cartagena, Colombia;Intercontinental de Aviacion
Flagstaff, Arizona;Empire Airlines
Masset, British Columbia, Canada;Canada Jet Charters
Pleasanton, California;West Air
Blyn, Washington;Air Taxi - Coastal Airways Inc.
Los Angeles, CA;Air Taxi - Wolfe Air Aviation Ltd.
Kathmandu, Nepal;Royal Nepal Airlines
Near Krasnoyarsk, Russia;Abakan Airlines
Le Bourget, France;Leadair - Charter
Kuei Shan Hsiang, Taiwan;Transasia Airways
Near Tusayan, Arizona;Las Vegas Airlines
Kansas City, Missouri;ATI
Ossora, Russia;Aeroflot
Reno, Nevada;Union Flights
Near Hamilton, New Zealand;Kiwi West Aviation
Near Balotesti, Romania;Transporturile Aeriene Romane (TAROM)
Near Alexander City, Alabama;Military - U.S. Air Force
Lagos, Nigeria;Bristow Helicopters
Alice Springs, Australia;IAI 1124 Westwind
Near Palaly AFB, Sri Lanka;Military - Sri Lanka Air Force
Sioux Falls, Ontario, Canada;Bearskin Airlines / Air Sandy
Quito, Ecuador;American Jet
Cerro San Jeronimo, Colombia;ADES Colombia
Near Boise, Idaho;Military - U.S. Air Force
Near Leeds, England;Knight Air
Miraflores, Colombia;LACOL
Off Mbour, Senegal;Senegalair
Atlanta, Georgia;ValuJet
Near Palmerston North, New Zealand;Ansett New Zealand
Volgograd, Russia;Volga Air
Herputchi, Russia;Aeroflot
Near Cuvela, Angola;Military - Angolan Air Force
Lagos, Nigeria;Harka Air Services
La Romana, Dominican Republic;Salair
Kodiak, Alaska;Air Taxi - Island Air Service
Kiunga, Papua New Guinea;Garamut Aviation
Haines, Alaska;Air Taxi - Lab Flying Service Inc.
Gumey, Papua New Guinea;Milne Bay Air
Bintuni,  Indonesia;Merpati Nusantara Airlines
Near Antananivo, Madagascar;Military - Madagascar Air Force
Near Karamui, Papua New Guinea;Transniugini Airways
Johannesburg, South Africa;Aero Air
Mt. Chichontepec, San Vincente, El Salvador;Aviateca
Near Kaimana, Indonesia;Bourag Indonesia Airlines
Nevada del Huila, Colombia;AIRES Colombia
Near Carrollton, GA;AtlantiSoutheast Airlines
Near Farewell, Alaska;North Star Air Cargo
Toronto, Ontario, Canada;Military - Royal Air Force
Beaver Dam, Arizona;Adventure Airlines
Near La Macarena, Colombia;SAETA
Jalalabad, Afghanistan;Ariana Afghan Airlines
Off Colombo, Sri Lanka;Military - Sri Lanka Air Force
Marsh Harbour, Bahamas;Bimini Air Charter Inc.
Tawau,  Malaysia;Malaysia Airlines
Tamworth, Australia;Tamair
Near Moron, Mongolia;MIAT - Mongolian Airlines
Anchorage, Alaska;Military - U.S. Air Force
Sterligov Cape, Russia;Norilsk Flight Company
Campbell River, British Columbia, Canada;Western Straits Air
Gunung Antara, Indonesia;Sabang Merauke Raya Air Charter
Barskoon, Kirghizia;Kirghizia Aba Zaoldoru
Bayfield, Colorado;Air Taxi - Durango Air Service
Papua, New Guinea;Islands Nationair
Near Piedras Negras, Mexico;TACSA
Near Luyaba, Argentina;Military - Argentine Air Force
Kaduna, Nigeria;Nigeria Airways
Off Jaffna Peninsula , Sri Lanka;Military - Sri Lanka Air Force
Off Labuan, Malaysia;Sabah Air
Baku, Azerbaijan;Azerbaijan Airlines
Near Douala, Cameroon;Cameroon Airlines
Near Nakhichevan, Azerbaijan, Russia;Azerbaijani Airlines
Near Grossevichi, Russia;Far East Aviation
Near Belle Anse, Haiti;Air St. Martin
Verona  - Villafranca, Italy;Romanian Banat Air
Kahengula, Angola;Trans Service Airlift
Near Buga, Valle del Cauca, Colombia;American Airlines
Bagasin, Papua New Guinea;Island Airways
Karabogazgol Bay, Turkmenistan;Akhal Air
Kinshasa, Zaire;African Air
Off Bridgetown, Barbados;Mustique Airways
Near Kano, Nigeria;Military - Nigerian Air Force
Off Point Pedro, Sri Lanka;Military - Sri Lanka Air Force
Near Blenheim, New Zealand;Soundsair
Asuncion, Paraguay;Lineas Aereas del Caribe
St. Johns, Arizona;Business Air Connection
Off Puerto Plata, Domincan Republic;Alas Nacionales, leased from Birgen Air
Near Ensenada, Mexico;Aérotaxi Cachanilla
Near Kandahar, Afghanistan;Military - Taliban Militia
Port-au-Prince, Hati;Hati Express
El Zapotal, Guatemala;AVCOM
Salzburg, Austria;Private Wings
Near Jabal Awliya, Sudan;Military - Sudanese Air Force
Near Lukapa, Angola;Aero Tropical
Arequipa, Peru;Compania de Aviacion Faucett SA (Peru)
Sao Paulo, Brazil;Madrid Taxi Aéreo - Charter
Near Mesones Muro, Peru;Military - Peruvian Army Aviation
Near Punto Fijo, Venezuela;Avia Air Aruba
Key West, Florida;Key West Sea Plane Service - Air Taxi
Near Dubrovnik, Croatia;Military - U.S. Air Force
Near Petropavlovsk, Russia;Krasnoyarskie Avialinii
Off Matsu Island, Taiwan;Formosa Airlines
Cheyenne, Wyoming;Private
Near Haj Yousif, Sudan;Federal Airlines
Near Terrace, British Columbia, Canada;Buffalo Narrows Airways
Otaez, Mexico;Aeroservicios Empresariales de Durango
Oumba, Papua New Guinea;Milne Bay Air
Everglades, Miami, Florida;ValuJet
Griesta, United Kingdom;Loganair
Kinshasa, DemocratiRepubliCongo;Hoseba
Rasht, Iran;Iran Air
Near Rollingstone, Queensland  Australia;Military - Australian Army Aviation
Fukuoka, Japan;Garuda Indonesia Airlines
Shanghai, China;China Flying Dragon Aviation (Feilong Airlines)
Pensacola, Florida;Delta Air Lines
Papua, New Guinea;Milne Bay Air
Near Kanda, India;Archana Airlines
Near Eindhoven, The Netherlands;Military - Belgian Air Force
Off East Moriches, New York;Trans World Airlines
Near Playa del Carmen, Mexico;Aerolatino (Aerocaribe)
Russian Mission, Alaska;Northern Air Cargo
Near Mergui, Manmar;Myanmar Airways
Markham Bay, Canada;First Air
Near Bronson Creek, British Columbia, Canada;Air North
Near Jackson Hole, Wyoming;Military - U.S. Air Force
Near Alliford Bay, British Columbia, Canada2;Harbour Air
Belgrade, Yugosalvia;Spair Air Transport
Spitsbergen, Norway;Vnokovo Airlines
Joinville, Brazil;Helisul Taxi Aéreo
Anchorage, Alaska;Air Taxi - Stearns Air Alaska
Waddenzee, Netherlands;Dutch Dakota Association
Off Pasamayo, Peru;Aeroperu
Kahemba, Congo;Malu Aviation
Lukapa, Angola;Savanair
San Francesco al Campo, Italy;Aeroflot
Ketchikan, Alaska;Air Taxi - Seaside Air Service
Eel River Crossing, New Brunswick, Canada;Telford Aviation
Manta, Ecuador;Million Air
Khanty, Russia;Tyumen Aviatrans
Sao Paolo, Brazil;TAM (Brazil)
Near Tikal, Guatemala;Transported Areos Profesionales - TAPSA
Aubusson, France;Jetcom S.A.
Lucapa, Angola;ALADA
Lagos, Nigeria;Aviation Development Corporation
Near Charkhidadri, India;Saudi Arabian Airlines / Kazastan Airlines
Ngong, Kenya;Kismayo Airlines
Bolchaïa Pyssa, Russia;Komi Avia
Quincy, Illinois;United Express  / Private
Off Cape Mendocino, CA;Military - U.S. Air Force
Off Moroni, Comoros;Ethiopian Airlines
Bethel, Arkansas;ArctiTransportation Services
Abakan, Siberia, Russia;Military - Russian Air Force
Medellin, Colombia;ACES Colombia
Banjarmasin, Indonesia;Dirgantara Air Services
Boise, Idaho;Emery Worldwide
Tver, Russia;Military - Russian Air Force
Rio Negro, Colombia;SELVA
Narrows, Virginia;Airborne Express
Near Nellore, India;Military - Indian Air Force
Dorchester, New Hampshire;Aircraft Charter Group Inc
Edenton, North Carolina;Tar Heel Aviation
Near Moamoa, Samoa;Polynesian Airlines
Near Monroe, Michigan;Comair
Sparrevohn, Arkansas;Southcentral Air
Yola, Nigeria;Skypower Express Airways
Tambacoumba, Senegal;Air Senegal
Near Quiangala, Angola;Force Area Populaire de Angola
Northern Israel;Military - Israel Air Force /Military -  Israel Air Force
Carajas, Brazil;Varig
Guatemala City, Guatemala;Transpolar
Lake Simcoe, Ontario, Canada;Air Georgian
Medellin, Colombia;Air Pereira
Near Mashhad, Iran;Military - Iranian Air Force
Cherkessk, Russia;Stavropol Airlines
Tegucigalpa, Honduras;Military - U.S. Air Force
Griffin, Georgia;Custom Air Service
Near Wainwright, Alaska;Hageland Aviation Services
Brazzaville, DemocratiRepubliCongo;TAAG Angola Airlines
Gyandzha, Azerbaijan;Azerbaijan Airlines
Near Sorei, Niger;Military - Niger Air Force
Tanjung Pandan, Indonesia;Merpati Nusantara Airlines
Near Konduz, Afghanistan;Military - Afghan Republican Air Force
Huangtian, China;China Southern Airlines
Near Irumu, Congo;Bazair
Mandalgobi, Mongolia;MIAT - Mongolian Airlines
Madh Island, India;Elbee Airlines
Skwentna, Alaska;Air Taxi
Near Saravena, Colombia;Military - Colombian Army
Suzano, Brazil;TAM (Brazil)
Off Santiago de Cuba, Cuba;Cubana de Aviacion
Skagway, Alaska;Haines Airways - Air Taxi
Bandung, Indonesia;Sempati Air
Goroka,  New Guinea;Goroka Air Services
Near Ranong, Thailand;Singapore Airlines
Calabar , Nigeria;ADC Airlines
Florence, Italy;Air Littoral
Agana, Guam;Korean Airlines
Miami, Florida;Fine Air
Matsu Island, Taiwan;Formosa Airlines
