Location;Operator
Near Cordillera, Boliva;Lloyd Aereo Boliviano
Off Ajaccio, Corsica, France;Air France
Denton, Texas;American Airlines
South AtlantiOcean;Deutsche Lufthansa
Near Tengya, China;China National Aviation Corporation
Amemeca, Mexico;Compania de Mexico
Pavillon, New York;American Airlines
Uniontown, Pennsylvania;Trans Continental and Western Air
Port of Spain, Trinidad;Pan American Airways
Near Turin, Italy;Avio Linee Italiane
Switzerland;Deutsche Lufthansa
Senlis, France;Sabena
Basel, Switzerland;Swissair
Mount Waverley, Australia;Holyman Airways
Malmo, Sweden;A B Aerotransport
Hannover, Germany;Deutsche Lufthansa
Mt. Lihesten, Norway;Den Norske Luftfartskole
Off Channel Islands, Jersey;Guernsey Airways
Mazamet, France;Air France
Mexico;Mexicana
St. Louis, Missouri;Chicago Southern Airlines
Choco, Colombia;SCADTA
Altenkirchen, Germany;British Airways
Mirabella, Greece;Imperial Airways
English Channel;Imperial Airways
Walsenberg, Colorado;Varney Air Lines
Napierville, Illinois;Blue Bird Air Service
Mexico;Mexicana
;North Sea Aerial and General Transport
Near Tabarz, Germany;Deutsche Lufthansa
Near Moscow;Deruluft
Nurnberg, Germany;Deutsche Lufthansa
London, England;British Airways
Near Grenoble, France;Deutsche Lufthansa
Off Dakar, French West Africa;Air France
Croydon, England;KLM Royal Dutch Airlines
Near Salt Lake City, Utah;Western Air Express
Kellogg, Idaho;Northwest Orient Airlines
Near Milford, Pennsylvania;Eastern Air Lines
Near Dallas, Texas;Braniff Airways
Nanking, China;China National Aviation Corporation
Newhall, California;United Air Lines
Near Newhall, California;Western Air Express
Oran, Algeria;Sabena
Off San Francisco, California;United Air Lines
McPherson Ranges, Queensland, Australia;Airlines of Australia
Bathurst, Gambia;Deutsche Lufthansa
Near Ouroux, France;Imperial Airways
Clifton, Pennsylvania;Trans Continental and Western Air
Wetnum, Germany;Deutsche Lufthansa
Lakehurst, New Jersey;Deutsche Zeppelin Reederei
Stuttgart, Germany;Deutsche Lufthansa
Off Lae, New Guinea;Private - Purdue Reasearch Foundation
Hal, Belgium;KLM Royal Dutch Airlines
Wadi Halfa, Sudan;Ala Littoria
Off Cristobal, Panama;Pan American Grace Airways
Chilang Point, Bias Bay, China;China National Aviation Corporation
Daytona Beach, Florida;Eastern Air Lines
San Luis, Argentina;Pan American Grace Airways
Wau, Australia;Guinea Airways
Corsavy, France;Air France
Phaleron Bay, Greece;Imperial Airways
Palembang, Netherlands Indies;KLM Royal Dutch Airlines
Haydens Peak, Wyoming;United Air Lines
Mannheim, Germany;Deutsche Lufthansa
Ostende, Belgium;Sabena
Croydon, London;Deutsche Lufthansa
Brindisi Harbor, Italy;Imperial Airways
Saint Sauveur, France;Air France
Kasperske Hory, Czechoslovakia;Air France
Frankfurt, Germany;Deutsche Lufthansa
Bozeman, Montana;Northwest Orient Airlines
Pago Pago, U.S. Samoa;Pan American World Airways
North Pine, Ontario, Canada;General Airways
Off San Clemente Island, California;Military - U.S. Navy / Military - U.S. Navy
Kandalaksha, Russia;TsAGI
Marseille, France;Air France
Guadalupe, Mexico;Mexicana
Pontoise, France;Deutsche Lufthansa
Near Wawona, Cailifornia;Trans Continental and Western Air
Datia, India;Air France
Somerton, Australia;Australian National Airways
Near Formia, Italy;Ala Littoria
Balbuena, Mexico;Lineas Aéreas Mineras
Mangere, New Zealand;United Airways of New Zealand
Near Saugus, California;Northwest Orient Airlines
Sao Paulo, Brazil;Cruzeiro do Sul
Cleveland, Ohio;United Air Lines
Germany;Deutsche Lufthansa
Alberno Canal, BC, Canada;Ginger Coote Airways
Tanganyika;Wilson Airways
Mount  Mercedario, Chile;Pan American Grace Airways
Billings, Montana;Northwest Orient Airlines
Off Sardinia, Italy;Ala Littoria
Stulpica, Romania;LOT Polish Airlines
Near Bogota Colombia;Military - Colombian Army
Kisumu, Kenya;Imperial Airways
PacifiOcean between Manila and Guam;Pan American World Airways
Shishijima, Japan;Dai Nippon
Debrecen, Hungary;
Kiel, Germany;CSA Czech Airlines
Guanabara, Brazil;Syndicato Condor
Bucharest, Romania;LOT Polish Airlines
Montnago, Italy;Macchi
Wangmoon, China;China National Aviation Corporation
Innisfail, Australia;North Queensland Airways
Off Bathurst, Gambia;Deutsche Lufthansa
Grisons, Switzerland;Deutsche Lufthansa
Soest, Germany;Sabena
Mt. Dandenong, Australia;Australian National Airways
Somerset, England;British Airways
Channel Islands, Jersey;Jersey Airways
Schiphol, Amsterdam;KLM Royal Dutch Airlines
Regina, Saskatchewan, Canada;Trans Canada Air Lines
Bathurst, Gambia;Deutsche Lufthansa
Bagdad, Iraq;Imperial Airways
Off Point Reyes, California;United Air Lines
Off Kubashima, Japan;Japan Aviation Corporation
Amsterdam, Netherlands;KLM Royal Dutch Airlines
Darwin, Australia;Qantas
Paris, France;Swissair
Miles City, Montana;Northwest Orient Airlines
Rio de Janeiro, Brazil;Syndicato Condor
Katherine, Australia;Guinea Airways
AtlantiOcean between N.Y. and Bermuda;Imperial Airways
Mediterranean Sea;Deutsche Lufthansa
Haren, Belgium;Sabena
Manzanares, Colombia;Deutsche Lufthansa
Near Adler, Washington;Boeing Aircraft Company
Hannover, Germany;Deutsche Lufthansa
AtlantiOcean;Great Western and Southern Air Lines
Oklahoma City, Oklahoma;Braniff Airlines
Near Marrakech, Morocco;Air France
Mocambique;Imperial Airways
Near Marrakech, Morocco;Air France
Guayaquil, Ecuador;Military - Ecuadorian Air Force
Vlissingen, The Netherlands;KLM Royal Dutch Airlines
Konstanz, Switzerland;Swissair
Barcelona, Spain;Deutsche Lufthansa
Rio de Janerio, Brazil;Pan American World Airways
Off Copenhagen, Denmark;British Airways
Lahore, India;Indian National Airways
Hannover, Germany;Deutsche Lufthansa
North Sea;KLM Royal Dutch Airlines
Gosport, England;British Airways
South of Gibraltar;Iberia Airlines
Off Malta-Luqa;Imperial Airways
Mogador, Morocco;Linee Aeree Italiane
Denpasar, Indonesia;KNILM
Gulf of Oman;Imperial Airways
Near Loch Lomond, Scotland;British Overseas Airways
El Segundo, California;Douglas Aircraft Company
Off Prangli Island, Gulf of Finland, Estonia;Aero O-Y
Near Ouistreham, France;Air France
Gulf of Tonkin;Air France
Near Canberra, Australia;Military - Royal Australian Air Force
Cluj, Romania;LARES
Near Lovettsville, Virginia;Pennsylvania Central Airlines
Near Changyi, China;China National Aviation Corporation
Berlin, Germany;Deutsche Lufthansa
Near Centerville, Utah;United Air Lines
Brauna, Germany;Deutsche Lufthansa
Rio de Janeiro, Brazil;
Mediterranean Sea;Air France
Chicago, Illinois;United Air Lines
Off South Africa;LATI
Near Nagy-Varad, Hungary;Malert Airlines
Near Kian, China;China National Aviation Corporation
Near Robertson, Missouri;Trans Continental and Western Air
Armstrong, ON, Canada;Trans Canada Air Lines
Atlanta, Georgia;Eastern Air Lines
Trontheim, Norway;Deutsche Lufthansa
Elands Bay, South Africa;South African Airways
Bucharest, Romania;LARES
Sea of Japan;Manchurian Air Lines
Arran, Scotland;Military -Royal Air Force
Ayr, Scotland;Military - Royal Air Force
Near Sao Paulo, Brazil;Panair do Brasil
Bollemont, France;Air France
Campbeltown, Argyll, Scotland;British Overseas Airways
San Juan, Puerto Rico;Pan American World Airways
;Deutsche Lufthansa
Near Moorhead, Minnesota;Northwest Orient Airlines
St. Thomas, Ontario, Canada;American Airlines
Miami, Florida;Pan American Airways
Near Las Vegas, Nevada;Trans Continental and Western Air
Manado, Indonesia;Military - Royal Australian Air Force
Near Samarinda, Borneo;KNILM
Kupang, Timor;KNILM
Near Kupang, Timor;Qantas
;China National Aviation Corporation
English Channel, near Plymouth, England;British Overseas Airways
Off Belmont, Brisbane, Australia;Qantas
Indian Ocean;British Overseas Airways
Off Broome, Australia;Military - U.S. Army Air Force
Wyndham, Australia;KNILM
North Sea;Aktiebolaget Aerotransport
Kunming, China;China National Aviation Corporation
Pine Creek, Australia;Guinea Airways Limited
Salt Lake City, Utah;United Air Lines
Miles City, Montana;Northwest Orient Airlines
Near Premier, West Virginia;Military - U.S. Army Air Forces
Off Broken Head, Australia;Military - Royal Australian Air Force
Llanfair, England;Military - Royal Air Force
Algiers, Algeria;Air France
;Deutsche Lufthansa
Trinidad;KLM Royal Dutch Airlines
Invergordon, England;Military - Royal Air Force
Near Dunbeath, Scotland;Military - Royal Air Force
Ameur el Ain, Algeria;Air France
Kunming, China;China National Aviation Corporation
Near Coamo, Puerto Rico;Military - U.S. Army Air Forces
Botwood, Newfoundland;American Export Airlines
;Deutsche Lufthansa
Palm Springs, California;American Airlines / Military - USAF
Norway;Military - Royal Air Force
Fairfield, Utah;Western Airlines
Wien, Vienna;DLL
River Tagus, Lisbon, Portugal;British Overseas Airways
Near Paramarino, Dutch Guyana;Military - U.S. Army Air Forces
Off the Brazilian coast,  AtlantiOcean;Military - U.S. Army Air Forces
Ukiah, California;Pan American World Airways
Near Chaparra, Peru;Pan American Grace Airlines
Near Gander, Newfoundland;British Overseas Airways
Seattle, Washington;Private - Boeing Aircraft Company
Lisbon, Portugal;Pan American World Airways
Luishui, China;China National Aviation Corporation
Himalaya, China;China National Aviation Corporation
Archerfield Aerodrome, Queensland, Australia;Military - Royal Australian Air Force
Off Port Moresby, New Guinea;Qantas
Off the coast of France;British Overseas Airways
Red Springs, North Carolina;Military - U.S. Army Air Forces
Near Mackay, OLD, Australia;Military - U.S. Army Air Forces
Khartoum, Sudan;British Overseas Airways
Khartoum, Sudan;British Overseas Airways
Gibraltar;
Brandon Head, Ireland;British Overseas Airways
Trammel, Kentucky;American Airlines
Ploesti, Romania;Military - U.S. Army Air Forces
Off Townsville, Australia;Military - U.S. Air Force
Fort Hertz, China;China National Aviation Corporation
Rio de Janeiro, Brazil;VASP
Off Galveston, Texas;Military - U.S. Army Air Forces
Near Maxton, North Carolina;Military - U.S. Army Air Forces
Near Calcutta, India;Military - U.S. Army Air Forces
Near Centerville, Tennessee;American Airlines
St. Donat, Quebec, Canada;Military - Royal Canadian Air Force
Hallo, Sweden;AB Aerotransport
Columbus, Georgia;Military - U.S. Army Air Forces
Poona, India;Military - Indian Air Force
Kunming, China;China National Aviation Corporation
Kunming, China;China National Aviation Corporation
Port Moresby, New Guinea;Qantas
Suifu, China;China National Aviation Corporation
Canal Creek, Australia;Military - U.S. Air Force
Lakeside, Utah;Military - U.S. Army Air Forces / Military - U.S. Army Air Forces
Belgrad, Yugoslavia;Deutsche Lufthansa
Memphis, Tennessee;American Airlines
China;China National Aviation Corporation
Eubeoa, Greece;Deutsche Lufthansa
New Guinea;Military - U.S. Army
Near Nome, Alaska;Pan American World Airways
Belgrad, Yugoslavia;Deutsche Lufthansa
Frederikstad, Norway;Deutsche Lufthansa
Montreal, Canada;Military - Royal Air Force
Between Calcutta to Dinjan, China;China National Aviation Corporation
Off Calcutta, India;China National Aviation Corporation
Carentan, France;Military - U.S. Army Air Forces
Flamanville, France;Military - U.S. Army Air Forces
Barneville, France;Military - U.S. Army Air Forces
Kunming, China;China National Aviation Corporation
Kweilin, China;China National Aviation Corporation
Porto Alegre, Brazil;Varig
North AtlantiOcean;Military - U.S. Army Air Forces
Port Logan, Scotland;Military - U.S. Army Air Forces
Funafuti, Gilbert Islands, PacifiOcean;Pan American Airways
Naper, Nebraska;Military - U.S. Army Air Forces
Off Antilla, Cuba;Pan American World Airways
Blythburgh, England;Military - U.S. Navy
Freckelton, England;Military - U.S. Air Force
Preswick, Scotland;Military - U.S. Army Air Forces
Sao Paulo, Brazil;Panair do Brasil
Belgrad, Yugoslavia;Deutsche Lufthansa
Near Mossman, Queensland, Australia;Military - Royal Netherlands East Indies Air Force
Alaska;U. S. Air Force
Rio Doce, Brazil;Panair do Brasil
Near Dijon, France;Deutsche Lufthansa
Texas;Military - U.S. Air Force
Near Sadiya, India;China National Aviation Corporation
Bosnia;Deutsche Lufthansa
Sydney, Australia;Qantas
Telemark, Norway;Deutsche Lufthansa
Hungary;Deutsche Lufthansa
Birkenhead, England;Military - U.S. Army Air Forces
Hanford, California;Trans Continental and Western Air
Seljord, Norway;Military - U.S. Army Air Corps
Lewes, England;Military - U.S. Army Air Forces
Tegucigalpa, Nicaragua;TACA
Kenya;BOAC
Malmo, Sweden;Deutsche Lufthansa
Dinjan, China;China National Aviation Corporation
Van Nuys, California;Trans Continental and Western Air
AtlantiOcean;Trans-Canada Air Lines
English Channel;Military - U.S. Army Air Forces
Near Dinjan, India;China National Aviation Corporation
Port of Spain, Trinidad;Pan American World Airways
Burbank, California;American Airlines
China;China National Aviation Corporation
Near Kunming, China;China National Aviation Corporation
Timor, Indonesia;Military - Royal Australian Air Force
Redesdale, Australia;Australian National Airways
Near Montieri, Italy;Military - U.S. Army Air Forces
Nunters Burgh, England;Military -Royal Air Force
